［受付年月日］,［契約当事者年齢］,［契約当事者性別等］,［契約当事者地域］,［超大分類］,［商品・役務名］,［件名］,［相談概要］,［契約・申込の有無］,［契約購入年月日］,［販売購入形態］,［決済・販売方法］,［信用供与の有無］,［信用供与の有無詳細］,［支払手段］,［契約購入金額］,［内容別分類］,［内容等ＫＷ］,［処理結果概要］,［救済金額］,［救済金額の内容］
2023年4月25日,84歳,2.女,201.奈良市,2.役務,保険料の還付,役所の保健福祉課職員から健康保険料を還付すると電話があり銀行名を教えた。銀行から電話があると言われたがどうすればよいか。,先ほど、市役所の保健福祉課の男性を名乗り電話があった。夫の名前と住所を確認され、「夫に１９８７０円、妻に１６２００円の年金の戻りがある。合計１９８７０円を振込むので銀行口座を教えてほしい」と言われ、銀行口座を伝えた。「銀行職員が口座を確認し、また電話をする」と言われた。しかし、電話を切ってから不審に思って、市役所の保健福祉課に電話をしたところ、そのような名称の課も職員も存在しなかった。この後、銀行から電話が来ると言われているが、どのようにすればよいか。,3.不明・無関係,,9.不明・無関係,,4.不明・無関係,,,,07.販売方法　08.契約・解約,ｶﾝﾌﾟｷﾝｻｷﾞ　ﾐﾌﾞﾝｻｼﾖｳ　ｷﾞﾝｺｳﾄｳ　ｹﾞｷｼﾞﾖｳｶﾞﾀｶﾝﾕｳ,還付金詐欺について説明し、連絡を取らず無視しておくよう助言した。,,
2023年4月25日,75歳,1.男,201.奈良市,1.商品,迷惑メール,本日スマホのメールに心当たりの無いアカウントから連絡が届いた。先日はＳＭＳにも届いた。このようなメールの対処法を知りたい,,3.不明・無関係,,9.不明・無関係,,4.不明・無関係,,,,07.販売方法,ﾒｲﾜｸﾒｰﾙ　ｼﾖｰﾄﾒﾂｾｰｼﾞ,同種相談事例を紹介し、今後は無視して削除し、様子を見るよう助言した。,,
2023年4月25日,30歳,1.男,201.奈良市,2.役務,動画サイト利用料金,先程、大手電話業者を名乗り「動画サイトの利用料金が未納」と電話が来た。心当たりが無いと言い、一旦電話を切ったが詐欺か。,,1.既に契約・申込した,,2.通信販売,,4.不明・無関係,,,,08.契約・解約,ｶｸｳｾｲｷﾕｳ　ｲﾝﾀｰﾈﾂﾄﾂｳﾊﾝ,架空請求の電話の可能性を指摘した。無視をして様子を見るよう助言した。,,
2023年4月25日,72歳,1.男,201.奈良市,1.商品,ドライブレコーダー,カー用品店で取付費用込みの料金と思いドライブレコーダーを購入したら、取付後に作業代を請求された。説明がなく納得できない。,３日前カー用品店で、取付費用込みと思って５万５０００円のドライブレコーダーを購入した。しかし取付後、７万３５００円の請求書を渡された。伝票には「取付」とあったが、取付費用が１万８５００円かかるとは記載されていなかったので、納得できない。まだ支払いはしておらず、店と話し合うつもりだ。,1.既に契約・申込した,2023年4月22日,0.店舗購入,,4.不明・無関係,,,"73,500円",04.価格・料金,ｹｲﾔｸｼﾖ･ｼﾖﾒﾝ@　ｾﾂﾒｲﾌﾞｿｸ　ｺﾞｶｲ･ｶﾝﾁｶﾞｲ　ﾌﾄｳｾｲｷﾕｳ@,相談途中、「用事があるのでまたかけ直す」と電話が切れた。その後、相談者から連絡がなく相談終了とした。,,
2023年4月25日,64歳,2.女,201.奈良市,2.役務,光回線,ネットの開通工事が遅れ、割高なモバイルＷｉ－Ｆｉルーターをレンタルせざるを得なかった。利用料金の差額を返金してほしい。,２０２２年１１月に集合住宅に引越した。自宅を訪問したガス業者の代理店から「インターネットとガスと電気をまとめて契約すれば安くなる。今申し込むと翌月からネットが利用できる」と勧められ、その場でタブレットから申し込んだ。しかし後の調査で、各戸に光回線を引き込む配管が塞がっていたため、工事が必要であることが分かった。開通までモバイルＷｉ－Ｆｉルーターをレンタルすることにしたが、一向に開通工事が始まらなかった。３月末に業者に苦情を伝えたところ、「光卸業者の事情で工事が遅れている。いつになるかは分からない」と言われた。結局、解約して他社の光回線サービスに乗り換えた。そもそも、開通工事に時間がかかると分かっていたら契約しなかったし、割高なモバイルＷｉ－Ｆｉルーターをレンタルすることもなかった。利用料金の差額を返金してほしいと業者に求めたが、応じてもらえなかった。,1.既に契約・申込した,202211,1.訪問販売,,1.無,101.即時払,,,02.品質・機能、役務品質　08.契約・解約,ｶﾃｲﾎｳﾊﾝ　ﾃﾞﾝﾘﾖｸｺｳﾘｼﾞﾕｳｶｶﾝﾚﾝ　ｹｲｻﾞｲｾｲ　ﾔｸｿｸﾌﾘｺｳ　ｶｲﾔｸ@　ｺｳｶｶｸ･ﾘﾖｳｷﾝ　ﾍﾝｷﾝ　ｸﾚｰﾑｼﾖﾘ,以前発生した光卸業者のシステム障害による影響で、回線工事が遅延している可能性を指摘した。ガス業者の落ち度ではないため、工事遅延に伴い余分にかかった利用料金の差額を返金する義務までないと考えられることを説明した。苦情を記録することを伝えたところ、相談者の納得を得た。,,
2023年4月24日,76歳,1.男,201.奈良市,1.商品,フィッシングメール,３日前、ＰＣに「ＥＴＣシステムの契約終了が近い」とメールが来て、個人情報を全て記載し返信したが、偽サイトからだった。,３日前、ＰＣに「ＥＴＣシステムの契約終了が近い」とメールが来て、クレジットカードや決済の銀行口座など、知られたくない個人情報を全て記載し返信したが、偽サイトからだった。どうすればいいか。,3.不明・無関係,,9.不明・無関係,,4.不明・無関係,,,,08.契約・解約,ｻｷﾞ　ﾒｲﾜｸﾒｰﾙ　ﾆｾｻｲﾄ　ｸﾚｼﾞﾂﾄｶｰﾄﾞ　ｺｼﾞﾝｼﾞﾖｳﾎｳ　ﾌｲﾂｼﾝｸﾞ,類似事例を説明し、今後の対処法についてアドバイスした。,,
2023年4月24日,,1.男,201.奈良市,2.役務,回転ずし,昨日回転ずし店を利用したが、寿司のご飯が劣化し固くなっていた。その分は値引きしてもらったが、業者を指導してほしい。,昨日、近所の回転ずし店を利用した。寿司を１０皿ほどを食べたが、一皿のご飯が劣化して固くなっていた。精算時に苦情を伝えてその分は値引きしてもらった。今後、同じようなことがないようにセンターから指導してほしい。,1.既に契約・申込した,2023年4月23日,0.店舗購入,,1.無,101.即時払,,,01.安全・衛生　02.品質・機能、役務品質,ﾚﾂｶ　ｱｼﾞ　ｸﾚｰﾑｼﾖﾘ,センターには指導権限がないことを説明し、苦情を記録すると伝えた。,,
2023年4月24日,26歳,1.男,201.奈良市,2.役務,建築条件付き住宅,３カ月前、建築条件付きの土地を契約した。下見もしたが、土地に電柱がたっていることに気づかなかった。説明もなく解約したい。,３カ月前、建築条件付きの土地を契約した。下見もしたが、土地に電柱が立っていることに気づかなかった。重要事項説明書にも契約書にもこのことの記載はなく、業者からの説明もなかった。自分の土地に電柱があるのは嫌なので、解約したい。土地の代金は、１８００万円で、既にローンも通っており、手付金５０万円も支払っている。業者からは、「現地を見学しており、電柱が立っていることは自明で、もし解約したいなら手付金流しとなる」と言われており、納得できない。,1.既に契約・申込した,2023年1月29日,0.店舗購入,,1.無,101.即時払,,"45,000,000円",02.品質・機能、役務品質　08.契約・解約,ｷﾖｼﾞﾕｳｾｲ　ｶｲﾔｸ@　ｶｲﾔｸﾘﾖｳ　ｼﾖｳﾋﾝｾﾝﾀｸﾐｽ　ﾎｼﾖｳｷﾝﾄｳ　ｼﾖﾒﾝﾌﾋﾞ　ｾﾂﾒｲﾌﾞｿｸ,重要事項説明書に電柱の記載が無いという苦情は、土地を見て契約している以上は言えず、解約も自己都合と解釈され、手付金流しでなければ難しいと思われることを説明した。,,
2023年4月24日,74歳,2.女,201.奈良市,1.商品,中古原動機付自転車,８か月前中古原動機付自転車を購入したが、４ケ月目からエンストし５回も修理に出した。商品交換を断られたが納得できない。,８か月前、バイク販売店で中古原動機付自転車を１１万円で購入したが、４か月目にエンストしバッテリーを交換した。６か月目にもバッテリーを再交換した。その後も調子が悪くなるたびに、販売店に原動機付自転車を持ち込み無料で修理してもらっていた。今月初旬、調子が悪くなり、４０００円を支払って点検とオイル交換をしてもらったが、また調子が悪くなった。頻繁に故障するので他の原動機付自転車との交換を求めたが、自然損耗なので交換できないと言われた。納得できない。,1.既に契約・申込した,2022年8月1日,0.店舗購入,,1.無,101.即時払,,"110,000円",02.品質・機能、役務品質,ｺｼﾖｳﾋﾝﾊﾟﾂ　ｴﾝｽﾄ　ｺｳｶﾝ　ｱﾌﾀｰｻｰﾋﾞｽ　ﾊﾞﾂﾃﾘｰｱｶﾞﾘ,中古車は新車と異なり相応の事前損耗があることを承知して購入しているとみなされるので、中古車に当然予想される通常の自然損耗による不具合について、販売店に責任を求めることはできないと説明した。,,
2023年4月24日,,2.女,201.奈良市,1.商品,新聞,新聞代金を１５か月分滞納している。業者と交渉し、２か月分ずつ支払うことにしているが、業者が集金に来ない。連絡するべきか。,２年ほど前から訪販で毎月５０００円の新聞の契約をしているが、新聞代金を１５か月分滞納している。先月業者と交渉し、毎月２０日頃に２か月分ずつ支払うことにしたが、業者が集金に来ない。こちらから業者に連絡するべきか。詳細言いたくない。,1.既に契約・申込した,2021,1.訪問販売,,1.無,101.即時払,,,08.契約・解約,,業者が集金に訪れたらいつでも支払えるように代金を用意して、様子を見てはどうかと助言した。,,
2023年4月24日,38歳,2.女,201.奈良市,1.商品,化粧品,昨日、全く身に覚えのない督促はがきが来た。調べると、ネット通販の化粧品の定期購入のようだ。意味が不明で連絡もしたくない。,昨日、全く身に覚えのない２３９０８円もの督促はがきが来た。調べると、ネット通販の化粧品の定期購入のようだ。ネット通販で商品を申し込んだことなどなく、意味が不明で連絡もしたくない。,1.既に契約・申込した,,2.通信販売,,2.販売信用,205.２か月内払い,,"23,908円",08.契約・解約,ｺｳｶｶｸ･ﾘﾖｳｷﾝ　ｲﾝﾀｰﾈﾂﾄﾂｳﾊﾝ　ｶｸｳｾｲｷﾕｳ　ｱﾄﾊﾞﾗｲｹﾂｻｲ,センターから、業者に確認したところ、相談者の電話番号と申込者の電話番号が違うということが分かった。そこで、業者が相談者にメールアドレスを確認したいとのこととなり、相談者にその旨確認すると、申込者のアドレスと異なることも分かった。結局、業者が第三者による嫌がらせの可能性があると認め、すべての請求を取り下げることとなった。,"23,908円",01.回復額
2023年4月24日,67歳,2.女,201.奈良市,2.役務,還付金詐欺,今朝、市役所から健康保険料の還付金があるとの電話があり、「口座振り込みするので銀行まで行け」と言われているが、本当か。,,3.不明・無関係,,9.不明・無関係,,4.不明・無関係,,,,07.販売方法,ｶﾝﾌﾟｷﾝｻｷﾞ　ﾐﾌﾞﾝｻｼﾖｳ,還付金詐欺の対処法を伝えた。,,
2023年4月24日,43歳,1.男,201.奈良市,1.商品,サプリメント,ネット広告のダイエットサプリをお試し価格で注文。返品保証制度で解約したいが、商品、梱包物、納品書が揃わず対象外になった。,ネット広告をみて、初回５００円のダイエットサプリメントを注文したら、２種類のサプリメントが届いた。初回は１０００円を支払った。本日、２回目の解約を求めたところ、「定期購入で契約したので、初回だけでは解約できない。初回で解約する場合は定価との差額を支払う必要がある。だだし、今回は初回受取から１０日以内に解約を申し出ているので、１０日間の返品保証が適用できる」と言われた。１０日間の返品保証を利用したいと伝えたが、初回商品と梱包物、納品書を一緒に返送する条件だった。梱包物は処分した後で返送できず、１０日間返品保証の対象外になった。定価との差額１１０００円を負担するよう言われ納得できない。,1.既に契約・申込した,2023年4月12日,2.通信販売,スコア後払いサービス,2.販売信用,205.２か月内払い,,"12,000円",08.契約・解約,ﾃﾞﾝｼｺｳｺｸ　ｲﾝﾀｰﾈﾂﾄﾂｳﾊﾝ　ﾃｲｷｺｳﾆﾕｳ　ｶｲﾔｸ@　ﾌﾄｳｾｲｷﾕｳ@　ｱﾄﾊﾞﾗｲｹﾂｻｲ　ｿｳｼﾝ　ﾍﾝﾋﾟﾝ　SNS,センターから事業者の電話に連絡したところ、センター専用電話番号を案内された。センター専用窓口に連絡した。相談者は初回代金１０００円を支払い済みで、２回目は解約になっていた。センターから１０日間返品保証を適用してほしいと伝えたところ、返品不要で解約に応じてもらえた。その旨、相談者に連絡し終了した。,"11,000円",01.回復額
2023年4月24日,28歳,2.女,201.奈良市,2.役務,脱毛エステ,３カ月前、交際相手の５回脱毛コースの契約をクレカでした。２回しか行っていないのに、業者が閉店して連絡が取れず、返金希望。,３カ月前、男性専門医療エステクリニックで、交際相手の彼の５回脱毛コースの契約をクレジットカード決済でしてあげた。彼へのプレゼントで、価格は、１８９５００円だった。彼は、まだ２回しかクリニックで施術を受けていないのに、業者が閉店して連絡が取れなくなっている。行けてない３回分を返金してほしい。,1.既に契約・申込した,2023年1月10日,0.店舗購入,,2.販売信用,205.２か月内払い,,"189,500円",08.契約・解約,ｶｲﾔｸ@　ﾚﾝﾗｸﾌﾉｳ　ｸﾚｼﾞﾂﾄｶｰﾄﾞ　ﾍﾝｷﾝ　ﾄｳｻﾝ　ﾔｸｿｸﾌﾘｺｳ　ﾋﾞﾖｳｲﾘﾖｳ,センターから、相談者にはクレジットカード会社に支払い停止の抗弁書を送付してもらい、カード会社にも返金交渉をした。２カ月後、チャージバックできたとの連絡がクレジットカード会社からあり、未施術分１１３７００円全額が返金されることとなった。,"113,700円",01.回復額
2023年4月21日,23歳,1.男,201.奈良市,2.役務,賃貸マンション,息子が賃貸の重要事項説明を受け申込金６７０００円を支払った。本契約前に解約を求めたら申込金は返金できないと言われた。,５日前、息子が不動産仲介業者を訪問し、結婚後の新居を紹介してもらった。その場で重要事項説明を受け署名をし、申込金６７０００円を支払った。審査が通れば、来週、本契約する予定だったが、家族から玄関前に急な階段があるのは危ないと指摘され解約を求めた。契約書に署名をしていないにもかかわらず、仲介業者から申込金の返金を断られ納得できない。返金してほしい。,1.既に契約・申込した,,0.店舗購入,,1.無,101.即時払,,"67,000円",08.契約・解約,ｹｲﾔｸｼﾖ･ｼﾖﾒﾝ@　ﾎｼﾖｳｷﾝﾄｳ　ﾌﾄｳｾｲｷﾕｳ@　ﾍﾝｷﾝ　ｶｲﾔｸ@,民法上は貸主と借主が合意すれば契約成立となるが、賃貸借契約では、貸主と借主の双方が契約書に署名・押印した時点で契約成立になると考えられる。重要事項説明を受けた段階では、契約が成立したことにならないので、不動産業者に対し預かり金を返金を求めることができると助言した。また、不動産適正取引推進機構の相談窓口を案内した。,,
2023年4月21日,70歳,2.女,201.奈良市,1.商品,美容液,先月と今月化粧品が届いたが、覚えがないので開封せず放置していた。本日請求書が届いたが、注文しておらず支払いたくない。,先月、美容液が届いたが覚えがないので開封しなかった。今月も同じ美容液が前回よりも大量に届いたが、それも開封せずにいた。本日、業者から１９８０円の請求書が届いた。ネット通販の化粧品を定期購入したことになっていた。スマホの操作に慣れていないので、ネットで商品を注文したことはない。注文していない商品代を支払いたくない。化粧品は送り付け商法としか思えないので、業者に詳細を確認するべきだと思うが、個人情報を知られたくない。どうすればよいか。,1.既に契約・申込した,2023年3月9日,2.通信販売,,2.販売信用,205.２か月内払い,,"1,980円",08.契約・解約,ｲﾝﾀｰﾈﾂﾄﾂｳﾊﾝ　ﾃｲｷｺｳﾆﾕｳ　ﾌﾄｳｾｲｷﾕｳ@　ﾒｲｷﾞﾎﾞｳﾖｳ　ｶｲﾔｸ@　ｺｼﾞﾝｼﾞﾖｳﾎｳ　ﾅﾝｶｲ　ｱﾄﾊﾞﾗｲｹﾂｻｲ　ｹｲﾔｸｼﾖ･ｼﾖﾒﾝ@,センターから業者に連絡し、送り状に記載された氏名と住所で、ＳＮＳ広告からの注文を確認できた。アドレスのドメインを教えてもらったが、相談者のアドレスとは違っていた。その後、年齢、電話番号も異なっていると分かり、第三者による注文であると認められ、代金請求は取り下げられた。相談者が着払いで返品し終了した。,"1,980円",01.回復額
2023年4月21日,24歳,2.女,201.奈良市,2.役務,脱毛エステ,昨年脱毛エステが倒産し施術を受けられなくなったが、来月から停止されていたクレジット請求を再開すると言われた。不納得だ。,昨年、脱毛エステが倒産し、通いたい放題の脱毛エステが受けられなくなった。クレジットの請求が数カ月間停止されていたが、来月から請求を再開すると連絡がきた。契約金額４２万円は半額支払い済みである。無制限で脱毛が受けられる条件だったのに、１５回しか施術を受けていない。契約書には契約期間２年間、脱毛エステ１２回と記載されているが、無制限プランで契約したので納得できない。,1.既に契約・申込した,,0.店舗購入,,2.販売信用,203.個別信用,,"420,000円",08.契約・解約,ﾄｳｻﾝ　ﾔｸｿｸﾌﾘｺｳ　ｶｲﾔｸ@　ﾌﾄｳｾｲｷﾕｳ@,無制限プランであっても、契約書に施術期間２年間・脱毛エステ１２回と記載されているため、クレジット会社はそれ以上の施術を受けている人に対して残債を請求する方針のようだ。再開された支払いを拒否すると滞納扱いになるので注意してほしいと説明した。,,
2023年4月21日,75歳,2.女,201.奈良市,2.役務,情報商材,本日、ＳＮＳで「脳トレーニング」の情報商材を申し込んだ後に、不明な料金を追加請求された。当初の説明と異なるため取消希望。,本日、ＳＮＳで「脳トレーニング」というものを知り、業者の公式メッセージアプリを登録した。すると「本日申し込みの方に限り１５％オフの２４万円で提供する」という広告を見て、申し込みの意思表示をした。すると、その後『手数料として１１万６０００円。合計３５万６０００円を３日以内に指定口座に振り込むように」とメッセージが届き、指定口座を伝えられた。契約規約や、確認画面もなく、メッセージアプリ内のやりとりのみで、後から高額手数料を請求されたことに納得できない。,1.既に契約・申込した,2023年4月21日,2.通信販売,,1.無,101.即時払,,"356,000円",04.価格・料金　08.契約・解約,ｲﾝﾀｰﾈﾂﾄﾂｳﾊﾝ　ｼﾞﾖｳﾎｳｼﾖｳｻﾞｲ　ﾌﾄｳｾｲｷﾕｳ@　ｷﾖｷﾞｾﾂﾒｲ　ｺｳｶｶｸ･ﾘﾖｳｷﾝ　ｶｲﾔｸ@　ﾚﾝﾗｸﾌﾉｳ　ﾃｽｳﾘﾖｳ　ﾈｻｹﾞ　ﾃﾞﾝｼｺｳｺｸ　SNS,通販は原則として業者の規約に従うことになることを説明した。まずは自身で業者公式メッセージアプリで契約取消の意思表示をし、様子を見るよう助言した。後日相談者から「解約の意思を伝えると、『キャンセルには応じない。支払うように』とメッセージが届いた。しかし、支払わずに様子を見ていると先日『これで終了とする』と連絡があり、その後何も連絡が無くなった」と報告を得た。メッセージアプリの履歴を保存しておくよう伝え、相談を終了した。,"356,000円",03.未然防止額
2023年4月21日,45歳,1.男,201.奈良市,2.役務,乗車券,私鉄の乗車券を、近所の旅行代理店で購入しようとしたら、手数料がかかると言われた。今まで無料だったので納得できない。,私鉄の乗車券を、近所の旅行代理店で購入しようとしたら、手数料がかかると言われた。今まで無料だったので納得できない。業者の対応に、問題は無いのだろうか。,2.まだ契約・申込していない,,0.店舗購入,,1.無,101.即時払,,,04.価格・料金　08.契約・解約,ﾃｽｳﾘﾖｳ　ﾌﾄｳｾｲｷﾕｳ@,乗車券の無料発行は業者の裁量で決めたサービスであり、義務ではないので、業者が手数料を取ることに問題は無いと考えられると伝えた。,,
2023年4月21日,50歳,2.女,201.奈良市,2.役務,歯科治療,歯科治療のセカンドオピニオンを受けるために、現在通院中の歯科医にレントゲンの提供を求めたら説明も無く断られた。提供希望。,歯科治療のセカンドオピニオンを受けるために、現在かかっている歯科医にレントゲンの提供を求めたら断られた。提供しないことは違法ではないのか。,1.既に契約・申込した,,0.店舗購入,,4.不明・無関係,,,,09.接客対応,ｾﾂﾒｲﾌﾞｿｸ,歯科医にはレントゲンの保管義務があるので原本は提供できないはずだが、コピーは歯科医の裁量で提供可能と思われることを伝えた。しかし、義務ではないので話し合いが必要なのではないかと付言した。,,
2023年4月20日,59歳,2.女,201.奈良市,1.商品,ズボン,ＳＮＳ電子広告に人気メーカーのズボンが破格で販売されていた。注文途中で不信感を覚え中止したが注文確定メールが届いた。,昨日、ＳＮＳ電子広告に人気メーカーのズボンが２枚で７８００円の破格で販売されていた。注文入力途中で、あまりの価格の安さに不信感を覚えた。メーカー公式サイトを調べると、注文しようとしている商品が販売されていないことが判明し、詐欺を疑い入力を中止した。しかし半日以上経過してサイトから注文確定メールが届いた。業者の連絡先が無いので、届いたメールに注文取消しを求める通知をしたが返信は無い。後日代引き配達で商品が届いた場合、対処法を知りたい。,1.既に契約・申込した,2023年4月19日,2.通信販売,,1.無,101.即時払,,"7,800円",06.表示・広告　08.契約・解約,ｲﾝﾀｰﾈﾂﾄﾂｳﾊﾝ　SNS　ﾃﾞﾝｼｺｳｺｸ　ﾚﾝﾗｸﾌﾉｳ　ﾆｾｻｲﾄ　ﾈｻｹﾞ,注文が確定していれば原則としてサイトのキャンセルポリシーに従うことになると説明した。荷物が届いた場合は配送業者に事情を説明して受取拒否し、送り主にその旨連絡するよう助言した。その際はセンターにも連絡するよう伝えた。その後相談無く業務終了とした。,,
2023年4月20日,50歳,2.女,201.奈良市,1.商品,育毛剤,ネット広告を見て回数縛りのない定期購入の育毛剤を注文した。２回目を解約したいが業者の電話が繋がらない。対処法は。,１か月程前、ネット広告を見て回数縛りのない定期購入の育毛剤を注文し、クレジットカードで決済した。注文後に、さらにお得な定期コースの注文画面が表示されたが、申し込まなかった。２回目は３個セットで２万円と高額なので、解約しようと業者に何度も架電したが、まったく繋がらない。サイトには、次回商品発送予定日の７日前までに電話で連絡すればいつでも解約できると書かれていたが、解約可能期間を過ぎてしまうのではないかと心配だ。,1.既に契約・申込した,202304,2.通信販売,,2.販売信用,205.２か月内払い,,,06.表示・広告　08.契約・解約　09.接客対応,ﾃﾞﾝｼｺｳｺｸ　ｲﾝﾀｰﾈﾂﾄﾂｳﾊﾝ　ﾃｲｷｺｳﾆﾕｳ　ｶｲﾔｸ@　ﾚﾝﾗｸﾌﾉｳ　ｺｳｶｶｸ･ﾘﾖｳｷﾝ,通信販売の定期購入の法規制について説明した。時間帯をかえても電話が繋がらないようであれば、業者に「何度も架電したが繋がらなかったのでメールで解約を申し出る。２回目の商品が届いても受け取り拒否する」というメールを送り、証拠として保存しておくよう伝えた。後日、相談者に確認したところ、「業者の電話が繋がり、２回目の解約が受け付けられた」とのことだった。,"20,000円",01.回復額
2023年4月20日,,4.不明,,1.商品,白髪染め,２か月前大手通販サイトから注文した覚えのない白髪染めが届いた。サイトから注文者に連絡を依頼していた最中同じ商品が届いた。,２か月前、大手通販サイトから私宛に白髪染めが届いた。注文した覚えがなく、インターネットも利用したことがない。子どもに頼んでサイトに問い合わせてもらったところ、「代金は支払い済みだ。注文者情報は開示できないため、こちらから注文者に連絡してみる」と言われた。誰が注文したのか分からないまま、１０日前また同じ白髪染めが届いた。気味が悪い。どうすればよいか。,1.既に契約・申込した,202302,2.通信販売,,4.不明・無関係,,,,08.契約・解約,ｲﾝﾀｰﾈﾂﾄﾂｳﾊﾝ　ﾈｶﾞﾃｲﾌﾞｵﾌﾟｼﾖﾝ,ネガティブ・オプションについて説明した。支払い義務はなく、商品を自由に処分しても構わないが、贈答品の可能性があるため、しばらく保管しておいた方がよいと話した。また、注文者が定期購入と気付かず申し込んでいる可能性も指摘し、サイトに再度連絡するよう伝えた。,,
2023年4月20日,75歳,1.男,201.奈良市,2.役務,家庭用浄化槽の清掃,昨年８月業者に家庭用浄化槽清掃を依頼した。清掃費用４９０００円を請求されたが、前回よりも倍額に値上がりした。納得できない,家庭用浄化槽の清掃は年に１回する義務があり、本来は昨年３月までに清掃しなければならなかったが、半年遅れの昨年８月、許可をうけた浄化槽清掃業者に家庭用浄化槽の清掃を依頼した。しかし、業者から清掃作業日の連絡がこず、催促しても連絡を待つようにと言われていた。先月実施日の連絡がきたが、清掃費用は４９０００円に値上がりし、前回料金２１０００円の倍額だった。この地域の清掃業者は１社しかなく、高額であっても依頼するしかない状況だが、弱みに付け込む高額請求に納得できない。,1.既に契約・申込した,202208,0.店舗購入,,1.無,101.即時払,,"49,000円",04.価格・料金,ｺｳｶｶｸ･ﾘﾖｳｷﾝ　ﾈｱｹﾞ,センターでは価格についての判断はできないが、苦情を記録すると伝えた。,,
2023年4月20日,40歳,2.女,201.奈良市,2.役務,任意自動車保険,新車購入時に任意自動車保険も一括契約した。高額の保険料を自己負担していたと分かり見直したいが、保険会社の対応が遅い。,新車を購入時に任意自動車保険も一括契約した。ディーラーから勧められた保険に加入したが、詳しい補償内容は説明されなかった。売買契約書に任意保険料額が記載されておらず、保険料は無料になっていると勘違いしていた。ディーラーに支払った車両代金２００万円の中から、保険料を自己負担していて、その保険料は高額であることを最近知った。保険会社に見直しを要望したが、回答が遅く高額の保険契約を継続している。自動車保険を満期になる前に解約したり、遡ってオプションを外して返金を求めることはできるか。,1.既に契約・申込した,,0.店舗購入,,1.無,101.即時払,,,07.販売方法　08.契約・解約　09.接客対応,ｹｲﾔｸｼﾖ･ｼﾖﾒﾝ@　ｾﾂﾒｲﾌﾞｿｸ　ｹｲﾔｸﾍﾝｺｳ　ﾍﾝｷﾝ　ｺｳｶｶｸ･ﾘﾖｳｷﾝ　ｺﾞｶｲ･ｶﾝﾁｶﾞｲ　ｶｲﾔｸ@,自動車保険の解約やオプション変更はいつでもできるが、契約内容の変更は申し出日以降になり、さかのぼって変更や取り消しはできないと説明した。また、任意自動車保険加入時に受け取っている保険約款を確認するよう付言した。,,
2023年4月20日,41歳,1.男,201.奈良市,2.役務,銀行口座とカードの解約,銀行窓口に電話で銀行口座とカードの解約を要望したが、来店しなければできないと言われた。郵送で解約手続きをしてほしい。,他府県の銀行で開設した口座を解約し、キャッシュカードに付帯されているクレジット機能を解約したい。支店まで行くのに交通費がかかるので、郵送か電話で解約手続きしたいと希望したが、個人情報を確認しなければならず、来店しなければ解約できないと断られた。納得できない。,1.既に契約・申込した,,0.店舗購入,,1.無,101.即時払,,,08.契約・解約　09.接客対応,ｶｲﾔｸ@　ﾊﾝﾊﾞｲﾀｲﾄﾞ　ｺｼﾞﾝｼﾞﾖｳﾎｳ　ｸﾚｼﾞﾂﾄｶｰﾄﾞ,センターから銀行の本店に問い合わせたところ、「遠方の場合は郵送でも受け付ける。その場合、登録住所と居住地が一致していることが条件になる。一致していなければ、事前に住所変更をしなければならない。そのため、個人情報を確認できる来店での解約手続きを案内している。また、キャッシュカードに付帯したクレジットは、カードの種類で手続き方法が異なるので、支店に問い合わせてほしい」とのことだった。その旨、相談者に伝えたところ、納得された。,,
2023年4月20日,74歳,1.男,201.奈良市,1.商品,覚えのない荷物,本日ネット通販サイトから２個の荷物が置き配されていた。氏名と住所に間違いはないが、通販で商品を注文した覚えがない。,本日、ネット通販サイトから私宛に２個の荷物が置き配されていた。氏名と住所に間違いはないが、通販で商品を注文した覚えがないし、誰かからのプレゼントとも思えない。連絡先が分からず困っている。,3.不明・無関係,,2.通信販売,,4.不明・無関係,,,,08.契約・解約　09.接客対応,ｲﾝﾀｰﾈﾂﾄﾂｳﾊﾝ　ﾚﾝﾗｸﾌﾉｳ,通販サイトのコールセンターの電話番号を伝え、自身で問い合わせするよう助言した。,,
2023年4月20日,81歳,2.女,201.奈良市,2.役務,還付金詐欺,先程、市役所職員を名乗り「医療費の還付手続きを忘れていないか」と電話が来た。後刻電話するよう指示されているが詐欺か。,先程、市役所職員を名乗り「医療費の還付手続きを忘れていないか」と電話が来た。後刻、マイナンバーカードや、キャッシュカードを手元に用意して電話するよう指示されているが詐欺か。,3.不明・無関係,,9.不明・無関係,,4.不明・無関係,,,,07.販売方法　08.契約・解約,ｶﾝﾌﾟｷﾝｻｷﾞ　ﾐﾌﾞﾝｻｼﾖｳ　ｺｼﾞﾝｼﾞﾖｳﾎｳ,還付金詐欺について説明し、今後は一切無視して連絡を絶つよう助言した。,,
